ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;SAN ANTONIO;CENTENARIO / LAURO BARROS;USADA;;04-01-2019;;ARRIENDO;;;UF;V;OFICINAS;UF 504,03;504,03;;;;;;
;VALPARAISO;EDIFICIO BLANCO / PLAZA SOTOMAYOR;USADA;;20-02-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 510,00;510,00;;;;2008;;
;VINA DEL MAR;RENACA;USADA;;15-05-2019;;ARRIENDO;2;3;UF;V;OFICINAS;UF 5,41;5,41;;;;20;;
;VALPARAISO;PEDRO MONTT / LAS HERAS;USADA;;20-03-2017;;ARRIENDO;2;1;UF;V;OFICINAS;UF 5,48;5,48;;;250;8;;
;VALPARAISO;BELLAVISTA 100;USADA;;28-02-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 5,79;5,79;;;;30;;
;VINA DEL MAR;10 NORTE;USADA;;24-05-2019;;ARRIENDO;2;1;UF;V;OFICINAS;UF 6,48;6,48;;;6;6;;
;CONCON;SE ARRIENDA CONTENEDOR DE 20 PIES COMO OFICINA SECTOR CONCON $ 190.000 ANO CORRIDO;USADA;;02-06-2018;;ARRIENDO;1;2;UF;V;OFICINAS;UF 6,85;6,85;;;;8,40;;
;VINA DEL MAR;22 NORTE / SANTA INES;USADA;;15-03-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 6,89;6,89;;;;20;;
;PUCHUNCAVI;MAITENCILLO PUCHUNCAVI 171;USADA;;07-08-2017;;ARRIENDO;1;1;UF;V;OFICINAS;UF 7,54;7,54;;;;22,33;;
;VINA DEL MAR;ARRIENDO DE OFICINAS EN EDIFICIO SAN ANTONIO CENTRO;USADA;;29-11-2017;;ARRIENDO;1;1;UF;V;OFICINAS;UF 8,04;8,04;;;20;20;;
;SAN ANTONIO;CENTRO DE LLOLLEO;USADA;;02-05-2019;;ARRIENDO;;1;UF;V;OFICINAS;UF 8,13;8,13;;;;10;;
;VILLA ALEMANA;AV. VALPARAISO-VILLA ALEMANA;USADA;;30-05-2019;;ARRIENDO;2;1;UF;V;OFICINAS;UF 8,29;8,29;;;;12;;
;VINA DEL MAR;VILLANELO ALTO 180;USADA;;06-06-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 8,64;8,64;;;;45;;
;CONCON;ELUCHANS;USADA;;31-10-2018;;ARRIENDO;1;3;UF;V;OFICINAS;UF 8,71;8,71;;;;9;;
